"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:59:08 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","BLQ","DFO","WDS","SLW","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSN","MSB","WO","PC","OTH","JF","LFG"
"J C McNeil","--",1,"--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden","--",1,"--","--","--",11,"--",29,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill","--",1,"--",11,6,"--","--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp","--",1,"--","--",6,9,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill","--",1,"--",12,"--",9,"--",32,23,"--","--",7,"--","--","--","--","--","--",23,"--","--","--"
"Kentucky Mills","--",1,"--",12,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station","--",1,"--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant","--",1,14,"--","--",14,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC","--",1,"--",12,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Lincoln Paper & Tissue","--","--","--","--",6,9,5,"--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Longview Fibre","--",1,"--",12,"--",15,"--","--","--","--","--","--",8,8,"--","--","--","--","--","--","--","--"
"M L Hibbard","--",1,"--","--","--",10,"--","--","--",19,"--","--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc","--",1,"--","--",6,21,"--","--",24,"--","--","--","--","--","--","--","--","--",27,"--","--","--"
"Mansfield Mill","--",1,"--",11,"--",9,"--",29,"--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Marlboro Mill","--",1,"--",11,"--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board","--",1,"--",11,6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
