"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-mmbtu_unit&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:57:45 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","WDS","BLQ","DFO","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSB","MSN","PC","OTH","JF","LFG"
"Des Moines Wastewater Reclamation Fac",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Desert View Power","--",1,"--",15,"--","--","--","--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dillard Complex","--",1,"--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dinuba Energy","--",1,8,15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar - Woodland Mill","--",1,"--",7,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Kingsport Mill","--",1,"--",9,10,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Paper Co LLC Plymouth NC","--",1,"--",16,12,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dorchester Biomass","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Double A Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Durham AWTF",2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eagle Valley Clean Energy LLC Biomass","--","--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eastern Correctional Institute","--","--","--",18,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"El Nido Facility","--","--","--",16,"--","--","--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Encina Water Pollution Control",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enderlin","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enterprise Sugar Factory","--",1,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Escanaba Mill","--",1,"--",9,12,"--",4,"--",30,24,"--","--",7,"--","--","--","--","--","--","--","--","--"
"Evergreen BioPower LLC","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen Community Power","--",1,"--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Expera Specialty Solutions - Mosinee Mill","--",1,"--",8,9,"--",4,"--","--",22,"--","--",6,"--","--","--","--","--","--","--","--","--"
"FCPC Renewable Generation",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fairhaven Power","--",1,"--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Beach Mill","--",1,"--",18,11,5,"--","--","--",27,"--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Plant","--","--","--",17,"--",6,"--","--",30,"--","--","--",6,"--","--",17,"--","--","--","--","--","--"
"Finch Paper","--",1,"--",8,"--","--","--","--","--","--","--","--",6,"--",2,"--","--","--","--","--","--","--"
"Flambeau River Papers","--","--","--",11,"--","--","--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"Flint River Operations","--",1,"--",9,12,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florence Mill","--",1,"--",9,12,"--","--","--","--",25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Florida Power Development","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--",15,"--","--","--","--","--","--"
"Fourche Creek Wastewater",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fremont Community Digester, LLC",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island","--",1,"--",12,"--",6,"--","--","--","--","--","--","--","--","--","--",8,13,"--","--","--","--"
"GL Dairy Biogas",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center","--",1,"--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gaylord Container Bogalusa","--",1,"--",9,11,"--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Genesee Power Station LP","--",1,"--",11,"--","--","--","--",32,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Big Island","--",1,"--",8,"--","--","--","--","--","--","--","--","--","--","--",9,"--","--","--","--","--","--"
"Georgia-Pacific Brewton Mill","--",1,"--",8,12,"--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Cedar Springs","--",1,"--",9,12,6,"--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Consr Prods LP-Naheola","--",1,"--",9,12,6,"--","--","--",27,"--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill","--",1,"--","--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC","--",1,"--",9,12,6,"--",6,30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Monticello Paper","--",1,"--",18,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations","--",1,"--",9,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson","--",1,"--",9,11,"--","--","--","--","--","--","--","--","--","--","--","--","--",31,"--","--","--"
"Georgia-Pacific Toledo Mill","--",1,"--","--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill","--",1,"--","--",11,"--","--","--","--","--","--","--","--","--","--",17,"--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",9,"--","--","--","--","--","--"
"Grayling Generating Station","--",1,"--",9,"--","--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power","--",1,"--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaiian Comm & Sugar Puunene Mill","--","--",8,"--","--",6,"--",6,"--",23,"--","--","--","--","--","--","--","--","--","--","--","--"
"Hidden View Dairy, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC","--",1,"--",7,"--","--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber","--","--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Holsum Elm Dairy",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill","--",1,"--",9,12,"--","--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Hopewell Power Station","--",1,"--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon","--",1,"--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Energy-Alexandria","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Jonesboro Energy Center","--","--","--",10,"--","--","--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Indeck West Enfield Energy Center","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem","--",1,"--",10,"--","--","--","--","--",24,"--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome","--",1,"--",9,12,6,"--","--","--",26,"--","--",6,"--","--","--","--","--","--",23,"--","--"
"International Paper - Orange","--",1,"--",9,11,"--","--","--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill","--",1,"--",8,12,6,"--","--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill","--",1,"--","--",11,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility","--","--","--",8,12,6,"--",6,31,26,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Franklin Mill","--",1,"--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill","--",1,"--",8,12,"--","--","--",31,25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"International Paper Pensacola","--",1,"--",9,12,"--","--","--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Prattville Mill","--",1,"--",9,11,"--","--",6,"--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Red River Mill","--",1,"--",9,11,"--",7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill","--",1,"--",9,12,"--",5,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"International Paper Riverdale Mill","--",1,"--",8,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill","--",1,"--",8,12,"--","--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill","--",1,"--","--",12,"--","--","--","--","--","--","--","--","--","--",10,"--","--","--","--","--","--"
"International Paper Valliant OK","--",1,"--","--",12,"--","--","--","--","--","--","--","--","--","--",18,"--","--","--","--","--","--"
"International Paper Vicksburg Mill","--",1,9,9,11,"--","--","--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro","--",1,"--",10,12,"--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"J C McNeil","--",1,"--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden","--",1,"--",11,"--","--","--","--",29,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill","--",1,"--","--",11,"--","--","--","--",24,"--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp","--",1,"--",9,12,6,"--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill","--",1,"--",9,12,"--","--","--",32,23,"--","--",7,"--","--","--","--","--",23,"--","--","--"
"Kentucky Mills","--",1,"--",9,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station","--",1,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant","--",1,14,14,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC","--",1,"--",9,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Longview Fibre","--",1,"--",15,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Lumberton","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--",7,"--","--","--","--","--","--"
"M L Hibbard","--",1,"--",10,"--","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc","--",1,"--",21,"--",6,"--","--","--",23,"--","--","--","--","--","--","--","--",28,"--","--","--"
"Mansfield Mill","--",1,"--",9,11,"--","--","--",29,"--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Marlboro Mill","--",1,"--",17,11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board","--",1,"--",9,11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Metro Wastewater Reclamation District",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College","--",1,"--",9,"--","--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"MillerCoors Irwindale Brewery",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC","--",1,"--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration","--",1,"--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant","--","--","--",17,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Napoleon Biogas",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA","--",1,"--",17,11,"--",14,"--","--","--",19,"--",7,"--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant","--",1,"--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Okeelanta Cogeneration","--",1,7,9,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
