"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-quantity&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:56:37 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","DFO (barrels)","WDS (short tons)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","TDF (short tons)","SUN","PC (short tons)","SUB (short tons)","PG (Mcf)","OBL (barrels)","PUR","WDL (barrels)","OBS (short tons)","LIG (short tons)","WND","WAT","ANT (short tons)","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","WC (short tons)","LFG (Mcf)","OG (Mcf)"
"Grayling Generating Station","--",321,"--","--",196065,"--","--","--","--","--","--",2343,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",248,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power","--",13099,"--","--",166876,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass","--","--","--","--",347712,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",256300,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaiian Comm & Sugar Puunene Mill","--","--",393066,599,"--","--",49166,"--",0,"--",17629,"--","--","--","--",0,0,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Hidden View Dairy, LLC",137919,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC","--",27063,"--","--",208858,"--","--","--","--","--","--",9624,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber","--","--","--","--",2801,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Holsum Elm Dairy",87716,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",163309,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill","--",1193118,"--",0,238645,403465,23251,"--",1139,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Power Station","--",838,"--","--",429049,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",65603,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon","--",1151332,"--",0,"--",487791,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Indeck Energy-Alexandria","--","--","--","--",195143,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
