"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"Domtar - Woodland Mill","--","--",1,12,"--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Kingsport Mill","--","--",1,11,6,10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Paper Co LLC Plymouth NC","--","--",1,12,6,17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dorchester Biomass","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Double A Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Durham AWTF",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eagle Valley Clean Energy LLC Biomass","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eastern Correctional Institute","--","--","--","--",6,18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"El Nido Facility","--","--","--","--","--",16,"--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Encina Water Pollution Control",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enderlin","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enterprise Sugar Factory","--",7,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Escanaba Mill","--","--",1,11,"--",9,4,"--",30,23,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Evergreen BioPower LLC","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen Community Power","--","--",1,"--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Expera Specialty Solutions - Mosinee Mill","--","--",1,8,"--",8,4,"--","--",22,"--","--",6,"--","--","--","--","--","--","--","--","--"
"FCPC Renewable Generation",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fairhaven Power","--","--",1,"--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Beach Mill","--","--",1,11,6,9,"--","--","--",27,"--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Plant","--","--","--","--",6,17,"--","--",30,"--","--","--",6,"--",17,"--","--","--","--","--","--","--"
"Finch Paper","--","--",1,"--","--",8,"--","--","--","--","--","--","--","--","--",2,"--","--","--","--","--","--"
"Flambeau River Papers","--","--","--","--","--",11,"--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"Flint River Operations","--","--",1,12,6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florence Mill","--","--",1,13,"--",9,"--","--","--",25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Florida Power Development","--","--","--","--",6,"--","--","--","--","--","--","--","--","--",15,"--","--","--","--","--","--","--"
"Fourche Creek Wastewater",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island","--","--",1,"--",6,12,"--","--","--","--","--","--","--","--","--","--",7,13,"--","--","--","--"
"GL Dairy Biogas",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center","--","--",1,"--","--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gaylord Container Bogalusa","--","--",1,11,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Genesee Power Station LP","--","--",1,"--","--",11,"--","--",32,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Big Island","--","--",1,"--","--",8,"--","--","--","--","--","--","--","--",9,"--","--","--","--","--","--","--"
"Georgia-Pacific Brewton Mill","--","--",1,12,"--",8,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Cedar Springs","--","--",1,12,6,9,"--","--","--",25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Consr Prods LP-Naheola","--","--",1,12,6,9,"--","--","--",27,"--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill","--","--",1,11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC","--","--",1,12,"--",9,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Monticello Paper","--","--",1,11,"--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations","--","--",1,12,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson","--","--",1,11,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--",31,"--","--","--"
"Georgia-Pacific Toledo Mill","--","--",1,11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill","--","--",1,11,"--","--","--","--","--","--","--","--","--","--",17,"--","--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility","--","--","--","--","--","--","--","--","--","--","--","--","--","--",9,"--","--","--","--","--","--","--"
"Grayling Generating Station","--","--",1,"--","--",9,"--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Green Cow Power",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power","--","--",1,"--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hidden View Dairy, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC","--","--",1,"--","--",7,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber","--","--","--","--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Holsum Elm Dairy",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill","--","--",1,12,"--",9,"--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Hopewell Power Station","--","--",1,"--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon","--","--",1,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Energy-Alexandria","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Jonesboro Energy Center","--","--","--","--","--",10,"--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
