Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
Rothschild Biomass Cogen Facility,58124,WI,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,20847,Wisconsin Electric Power Co,Rothschild Biomass Cogen Facility,210 N Grand Avenue,Rothschild,WI,54474,Marathon,44.887778,-89.629722
Rumford Cogeneration,10495,ME,IPP CHP,ST,BLQ,Wood/Wood Waste Biomass,60999,"Catalyst Paper Operations, Inc",Rumford Cogeneration,35 Hartford St,Rumford,ME,04276,Oxford,44.5513,-70.5414
Ryegate Power Station,51026,VT,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,54824,SUEZ Energy Generation NA Inc,Ryegate Power Station,247 Weesner Drive,East Ryegate,VT,05042,Caledonia,44.2131,-72.0572
S D Warren Westbrook,50447,ME,Industrial CHP,"HY, ST","WAT, WDS",Multiple,16721,S D Warren Co.- Westbrook,S D Warren Westbrook,89 Cumberland St,Westbrook,ME,04098,Cumberland,43.684857,-70.353152
SDS Lumber Gorge Energy Division,50231,WA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,22803,SDS Lumber Co,SDS Lumber Gorge Energy Division,123 Industrial Rd,Bingen,WA,98605,Klickitat,45.713079,-121.469178
SF Southeast Cogen Plant,57971,CA,Commercial Non-CHP,IC,OBG,Other Waste Biomass,16612,City & County of San Francisco,SF Southeast Cogen Plant,1701 Jerrold Street,San Francisco,CA,94124,San Francisco,37.739722,-122.3925
SJ/SC WPCP,56080,CA,Commercial CHP,IC,"NG, OBG",Multiple,16657,San Jose/Santa Clara Water P C,SJ/SC WPCP,700 Los Esteros Road,San Jose,CA,95134,Santa Clara,37.4344,-121.9464
SPI Anderson 2,59658,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,SPI Anderson 2,19758 Riverside Ave,Anderson,CA,96007,Shasta,40.472283,-122.324205
Sappi Cloquet Mill,50639,MN,Industrial CHP,"HY, ST","BLQ, WAT, WDS",Multiple,16653,Sappi Cloquet LLC,Sappi Cloquet Mill,2201 Avenue B,Cloquet,MN,55720,Carlton,46.7243,-92.4298
Sauder Power Plant,54974,OH,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,16694,Sauder Woodworking Co,Sauder Power Plant,820 West Barre Road,Archbold,OH,43502,Fulton,41.515211,-84.293549
Savannah River Site Biomass Cogen,57138,SC,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,56476,Ameresco,Savannah River Site Biomass Cogen,Burma Rd.,Aiken,SC,29808,Aiken,33.283333,-81.666666
Schiller,2367,NH,Electric Utility,"GT, ST","BIT, JF, WDS",Multiple,15472,Public Service Co of NH,Schiller,400 Gosling Rd.,Portsmouth,NH,03801,Rockingham,43.0978,-70.7842
Scotia Co-gen Humboldt Redwood Company LLC,50049,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,60153,Mendocino Forest Products,Scotia Co-gen Humboldt Redwood Company LLC,153 Main St.,Scotia,CA,95565,Humboldt,40.4728,-124.1014
Seneca Sustainable Energy LLC,57457,OR,Industrial Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56776,Seneca Sustainable Energy LLC,Seneca Sustainable Energy LLC,29650 E Enid Road,Eugene,OR,97440,Lane,44.116306,-123.179007
